23:09:27 [INFO] \u2550\u2550\u2550 PHASE B: LLM-based structured ethics extraction \u2550\u2550\u2550
23:09:27 [INFO] Target policies with ethics > 0: 1345
23:09:27 [INFO] Loading corpus texts...
23:09:28 [INFO] Corpus entries loaded: 2205
23:09:28 [INFO] Matched corpus texts: 1345 / 1345
23:09:28 [INFO] Resuming: 25 already completed
23:09:28 [INFO] Policies to process: 1320
23:09:36 [INFO]   [1/1320] (OK) 0.1/min, ETA 163m (failed: 0)
23:09:36 [INFO]   [2/1320] (OK) 0.3/min, ETA 83m (failed: 0)
23:09:38 [INFO]   [3/1320] (OK) 0.3/min, ETA 72m (failed: 0)
23:09:44 [INFO]   [4/1320] (OK) 0.3/min, ETA 85m (failed: 0)
23:09:44 [INFO]   [5/1320] (OK) 0.3/min, ETA 69m (failed: 0)
23:09:45 [INFO]   [6/1320] (OK) 0.4/min, ETA 61m (failed: 0)
23:09:50 [INFO]   [7/1320] (OK) 0.3/min, ETA 69m (failed: 0)
23:09:51 [INFO]   [8/1320] (OK) 0.4/min, ETA 61m (failed: 0)
23:09:52 [INFO]   [9/1320] (OK) 0.4/min, ETA 57m (failed: 0)
23:09:58 [INFO]   [10/1320] (OK) 0.3/min, ETA 64m (failed: 0)
23:09:58 [INFO]   [11/1320] (OK) 0.4/min, ETA 59m (failed: 0)
23:09:59 [INFO]   [12/1320] (OK) 0.4/min, ETA 56m (failed: 0)
23:10:03 [INFO]   [13/1320] (OK) 0.4/min, ETA 58m (failed: 0)
23:10:04 [INFO]   [14/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:10:05 [INFO]   [15/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:10:10 [INFO]   [16/1320] (OK) 0.4/min, ETA 57m (failed: 0)
23:10:11 [INFO]   [17/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:10:16 [INFO]   [18/1320] (OK) 0.4/min, ETA 58m (failed: 0)
23:10:17 [INFO]   [19/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:10:17 [INFO]   [20/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:10:22 [INFO]   [21/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:10:24 [INFO]   [22/1320] (OK) 0.4/min, ETA 55m (failed: 0)
