jurisdiction,c1_clarity,c2_resources,c3_authority,c4_accountability,c5_coherence,cluster
Argentina,0.5,0.25,0.625,0.25,0.9375,1
Australia,1.2790697674418605,0.8372093023255814,1.2790697674418605,0.7906976744186046,1.5348837209302326,2
Austria,0.6578947368421053,0.27631578947368424,0.5131578947368421,0.23684210526315788,0.868421052631579,1
Belgium,0.8723404255319149,0.5638297872340425,0.9361702127659575,0.2978723404255319,0.9787234042553191,0
Brazil,1.2857142857142858,0.9285714285714286,1.8571428571428572,1.0,1.9285714285714286,2
Bulgaria,0.7674418604651163,0.5813953488372093,0.7906976744186046,0.4186046511627907,0.7674418604651163,0
Canada,1.0,0.7333333333333333,1.2,0.8,1.3333333333333333,2
Chile,0.36363636363636365,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.8181818181818182,1
China (People’s Republic of),0.8181818181818182,0.36363636363636365,0.9545454545454546,0.36363636363636365,1.1363636363636365,0
Colombia,0.775,0.475,0.9,0.45,0.975,0
Costa Rica,0.6111111111111112,0.2222222222222222,0.6666666666666666,0.4444444444444444,0.7222222222222222,1
Croatia,0.5625,0.59375,0.8125,0.4375,0.6875,1
Cyprus,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.5555555555555556,1
Czech Republic,0.8823529411764706,0.6176470588235294,1.0294117647058822,0.29411764705882354,0.9411764705882353,0
Denmark,0.9761904761904762,0.7857142857142857,1.0476190476190477,0.3333333333333333,1.119047619047619,0
Egypt,0.8571428571428571,0.42857142857142855,1.0,0.5714285714285714,1.2857142857142858,0
Estonia,0.9411764705882353,0.6470588235294118,0.9411764705882353,0.4117647058823529,1.3529411764705883,0
Finland,1.2777777777777777,0.8333333333333334,1.3333333333333333,0.5833333333333334,1.5277777777777777,2
France,1.1764705882352942,1.0294117647058822,1.2647058823529411,0.5441176470588235,1.3970588235294117,2
Germany,1.1935483870967742,1.021505376344086,1.4408602150537635,0.6021505376344086,1.4838709677419355,2
Greece,0.7708333333333334,0.5625,0.8333333333333334,0.3125,0.9375,0
Hungary,0.75,0.6071428571428571,0.8928571428571429,0.35714285714285715,1.0357142857142858,0
Iceland,1.0,0.25,1.5,0.5,1.5,0
India,0.7435897435897436,0.46153846153846156,0.8717948717948718,0.358974358974359,0.9230769230769231,0
Ireland,1.2682926829268293,0.926829268292683,1.2682926829268293,0.6585365853658537,1.4634146341463414,2
Israel,1.0526315789473684,0.631578947368421,0.9473684210526315,0.42105263157894735,1.0,0
Italy,1.1842105263157894,1.0526315789473684,1.263157894736842,0.7105263157894737,1.263157894736842,2
Japan,0.9310344827586207,0.5517241379310345,1.0344827586206897,0.3793103448275862,1.1379310344827587,0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,3
Kenya,1.3,0.7,1.7,0.7,1.7,2
Korea,0.23809523809523808,0.0,0.23809523809523808,0.0,0.23809523809523808,3
Latvia,0.96,0.8,0.98,0.36,0.98,0
Lithuania,0.6060606060606061,0.3939393939393939,0.6666666666666666,0.12121212121212122,0.42424242424242425,1
Luxembourg,0.8,0.52,1.0,0.24,1.04,0
Malaysia,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
Malta,1.22,0.9,1.34,0.56,1.08,2
Mauritius,0.8,0.6,1.0,0.6,1.2,0
Mexico,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.3333333333333333,3
Morocco,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0
Netherlands,1.1914893617021276,0.9787234042553191,1.2553191489361701,0.5957446808510638,1.2765957446808511,2
New Zealand,0.5454545454545454,0.18181818181818182,0.7272727272727273,0.45454545454545453,0.9090909090909091,1
Nigeria,1.0,0.8,1.2,0.2,1.2,0
Norway,0.85,0.4,1.1,0.55,0.95,0
Peru,0.4444444444444444,0.2222222222222222,0.5,0.2222222222222222,0.6111111111111112,1
Poland,0.9743589743589743,0.8461538461538461,1.1538461538461537,0.5128205128205128,1.0,0
Portugal,0.52,0.29333333333333333,0.5466666666666666,0.14666666666666667,0.5733333333333334,1
Romania,1.2564102564102564,1.0512820512820513,1.2820512820512822,0.5128205128205128,1.4102564102564104,2
Rwanda,0.8333333333333334,0.8333333333333334,1.1666666666666667,0.5,1.1666666666666667,0
Saudi Arabia,1.484375,0.484375,1.609375,1.046875,1.40625,2
Serbia,0.8571428571428571,0.23809523809523808,0.9523809523809523,0.23809523809523808,0.7142857142857143,1
Singapore,1.0819672131147542,0.6065573770491803,1.1639344262295082,0.4918032786885246,1.4098360655737705,0
Slovak Republic,0.96,1.04,1.04,0.56,1.24,2
Slovenia,1.0657894736842106,0.9210526315789473,1.0657894736842106,0.4605263157894737,1.0921052631578947,0
South Africa,0.8,0.2,1.2,0.4,1.0,0
Spain,0.6071428571428571,0.5357142857142857,0.8035714285714286,0.3392857142857143,0.7321428571428571,1
Sweden,0.8148148148148148,0.6851851851851852,1.2222222222222223,0.42592592592592593,0.9629629629629629,0
Switzerland,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,1.0,1
Thailand,0.7,0.3,0.7,0.2,1.1,1
Tunisia,1.2857142857142858,0.5714285714285714,1.4285714285714286,0.8571428571428571,1.0,2
Türkiye,0.6842105263157895,0.3684210526315789,0.6578947368421053,0.3157894736842105,0.631578947368421,1
Uganda,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1
Ukraine,0.8717948717948718,0.46153846153846156,1.1282051282051282,0.3333333333333333,0.8205128205128205,0
United Arab Emirates,0.5,0.375,0.875,0.25,0.75,1
United Kingdom,1.1944444444444444,0.7361111111111112,1.3472222222222223,0.5972222222222222,1.4027777777777777,2
United States,1.2857142857142858,0.8571428571428571,1.5595238095238095,0.8095238095238095,1.5119047619047619,2
Uruguay,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.2857142857142857,1.0,1
Uzbekistan,0.0,0.0,0.0,0.0,0.0,3
Viet Nam,1.0,0.5714285714285714,1.0,0.42857142857142855,0.8571428571428571,0
