jurisdiction,e1_framework,e2_rights,e3_governance,e4_operationalisation,e5_inclusion,cluster
Argentina,0.8125,0.8125,0.875,0.25,0.4375,2
Australia,1.0,0.8372093023255814,1.0232558139534884,0.7441860465116279,1.0,0
Austria,0.6578947368421053,0.5657894736842105,0.5789473684210527,0.3026315789473684,0.4605263157894737,2
Belgium,0.5531914893617021,0.44680851063829785,0.5212765957446809,0.43617021276595747,0.6595744680851063,1
Brazil,1.1428571428571428,1.0,1.2857142857142858,0.7857142857142857,1.3571428571428572,0
Bulgaria,0.2558139534883721,0.2558139534883721,0.23255813953488372,0.3023255813953488,0.4418604651162791,3
Canada,0.8,0.6666666666666666,0.8666666666666667,0.7333333333333333,0.9333333333333333,0
Chile,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.6363636363636364,2
China (People’s Republic of),0.8636363636363636,0.6363636363636364,0.8181818181818182,0.36363636363636365,0.45454545454545453,2
Colombia,0.6,0.55,0.575,0.5,0.675,2
Costa Rica,0.5555555555555556,0.5,0.5,0.3888888888888889,0.3333333333333333,1
Croatia,0.21875,0.15625,0.1875,0.28125,0.40625,3
Cyprus,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,3
Czech Republic,0.4411764705882353,0.35294117647058826,0.29411764705882354,0.5882352941176471,0.5882352941176471,1
Denmark,0.7380952380952381,0.5952380952380952,0.6666666666666666,0.5476190476190477,0.5714285714285714,2
Egypt,1.0,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,0
Estonia,1.0588235294117647,0.8823529411764706,1.0,0.6470588235294118,0.6470588235294118,0
Finland,0.8055555555555556,0.6111111111111112,0.6388888888888888,0.75,0.9444444444444444,0
France,0.8676470588235294,0.6764705882352942,0.7794117647058824,0.6617647058823529,0.8676470588235294,0
Germany,1.043010752688172,0.7741935483870968,0.8709677419354839,0.8924731182795699,0.9354838709677419,0
Greece,0.4375,0.3541666666666667,0.4375,0.2916666666666667,0.5833333333333334,1
Hungary,0.6071428571428571,0.4642857142857143,0.5,0.42857142857142855,0.39285714285714285,1
Iceland,1.75,1.25,1.25,1.0,0.75,0
India,0.8717948717948718,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.6666666666666666,2
Ireland,0.5609756097560976,0.4878048780487805,0.5853658536585366,0.6585365853658537,0.9024390243902439,2
Israel,0.7368421052631579,0.5789473684210527,0.7368421052631579,0.631578947368421,0.7894736842105263,2
Italy,0.8157894736842105,0.5789473684210527,0.7631578947368421,0.8157894736842105,0.6578947368421053,0
Japan,0.9310344827586207,0.6206896551724138,0.7241379310344828,0.5517241379310345,0.7241379310344828,2
Kazakhstan,0.0,0.0,0.0,0.0,0.0,3
Kenya,0.9,0.8,0.9,0.7,1.0,0
Korea,0.23809523809523808,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,3
Latvia,0.3,0.2,0.32,0.44,0.46,1
Lithuania,0.21212121212121213,0.12121212121212122,0.12121212121212122,0.3333333333333333,0.3939393939393939,3
Luxembourg,0.48,0.28,0.36,0.32,0.48,1
Malaysia,0.0,0.0,0.0,0.3333333333333333,0.0,3
Malta,0.56,0.44,0.52,0.9,0.48,1
Mauritius,0.6,0.6,1.0,0.6,0.4,2
Mexico,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.09523809523809523,0.19047619047619047,3
Morocco,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,3
Netherlands,0.8297872340425532,0.7021276595744681,0.851063829787234,0.8085106382978723,0.7872340425531915,0
New Zealand,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.36363636363636365,0.7272727272727273,2
Nigeria,1.0,0.8,1.2,0.6,1.0,0
Norway,0.75,0.75,0.65,0.7,0.5,2
Peru,0.4444444444444444,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.2777777777777778,3
Poland,0.38461538461538464,0.3076923076923077,0.41025641025641024,0.6153846153846154,0.4358974358974359,1
Portugal,0.21333333333333335,0.17333333333333334,0.17333333333333334,0.22666666666666666,0.26666666666666666,3
Romania,0.5384615384615384,0.38461538461538464,0.48717948717948717,0.6923076923076923,0.5641025641025641,1
Rwanda,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,2
Saudi Arabia,1.046875,1.234375,1.125,1.25,0.609375,0
Serbia,0.38095238095238093,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,3
Singapore,0.9672131147540983,0.639344262295082,0.8852459016393442,0.8032786885245902,0.7213114754098361,0
Slovak Republic,0.6,0.44,0.68,0.52,0.64,2
Slovenia,0.40789473684210525,0.2631578947368421,0.3815789473684211,0.5131578947368421,0.5394736842105263,1
South Africa,0.4,0.2,0.2,0.6,0.2,1
Spain,0.35714285714285715,0.3392857142857143,0.375,0.44642857142857145,0.32142857142857145,1
Sweden,0.48148148148148145,0.3333333333333333,0.42592592592592593,0.4444444444444444,0.5555555555555556,1
Switzerland,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,2
Thailand,0.7,0.6,0.7,0.4,0.4,2
Tunisia,0.8571428571428571,0.8571428571428571,1.0,1.0,0.42857142857142855,0
Türkiye,0.47368421052631576,0.39473684210526316,0.3684210526315789,0.39473684210526316,0.34210526315789475,1
Uganda,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
Ukraine,0.7692307692307693,0.5641025641025641,0.46153846153846156,0.6410256410256411,0.6410256410256411,2
United Arab Emirates,0.5,0.625,0.625,0.5,0.375,2
United Kingdom,1.1805555555555556,0.9305555555555556,1.0972222222222223,0.7222222222222222,1.0833333333333333,0
United States,1.0476190476190477,0.9166666666666666,1.0714285714285714,1.0,0.9047619047619048,0
Uruguay,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.14285714285714285,2
Uzbekistan,0.0,0.0,0.0,0.0,0.0,3
Viet Nam,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,3
