entry_id,title,jurisdiction,income_group,region,depth_score,pct_deep,n_items,values_depth,principles_depth,mechanisms_depth
2f76e3d3d0cc,Strengthening the Digital Skills of Civil Servants,Slovenia,High income,Europe & Central Asia,5.000,100.0,1,0.000,0.000,5.000
6d25a2234868,Governance Committee of the Brazilian AI strategy,Brazil,Developing,Latin America & Caribbean,5.000,100.0,1,0.000,0.000,5.000
75712d4b07b1,Flemish AI Academy,Belgium,High income,Europe & Central Asia,5.000,100.0,1,0.000,0.000,5.000
e03572e68365,Disruptive Technologies Innovation Fund (DTIF),Ireland,High income,Europe & Central Asia,4.667,100.0,3,0.000,0.000,4.667
c062c315ea7f,HRDA AI courses,Cyprus,High income,Europe & Central Asia,4.500,100.0,4,4.500,4.000,5.000
db95e77937a6,AI Source List,Canada,High income,North America,4.500,100.0,2,0.000,0.000,4.500
d6b5cfe2d45e,The implementing regulation of the Personal Data Protection Law,Saudi Arabia,High income,Middle East & North Africa,4.467,93.3,15,4.500,4.500,4.400
33e603986725,Federal 5-Year STEM Education Strategic Plan,United States,High income,North America,4.455,90.9,11,4.750,4.000,4.667
0ee739fbacb1,Technology Assessment Recognition Framework,Malta,High income,Europe & Central Asia,4.400,80.0,15,5.000,4.000,4.200
d7e5c618f63a,ASEAN Guide on AI Governance and Ethics,Singapore,High income,East Asia & Pacific,4.350,90.0,20,4.333,4.625,4.000
728b59b43caf,AI MOOC: Basic AI Training through a MOOC,Austria,High income,Europe & Central Asia,4.333,83.3,6,4.000,4.000,5.000
4b75c4322f9a,"""Automated Vehicles"" Bill in the Road Traffic Act",Germany,High income,Europe & Central Asia,4.308,84.6,13,4.000,4.500,4.400
11ed663ffeb3,European Digital Innovation Hub,Malta,High income,Europe & Central Asia,4.273,81.8,11,4.000,3.667,4.800
9800de8904d9,AI Booster,France,High income,Europe & Central Asia,4.250,87.5,8,3.667,4.500,4.667
54132cc20ec6,AI Ethics Principles,Saudi Arabia,High income,Middle East & North Africa,4.250,90.0,20,4.429,4.429,3.833
ef9659239d28,Maryland Facial Recognition Law,United States,High income,North America,4.250,75.0,4,3.500,5.000,5.000
327c95cd9660,Guidelines on Assessment of AI Reliability in the Field of Plant Safety,Japan,High income,East Asia & Pacific,4.231,92.3,13,4.000,4.400,4.200
c0e62516b7c7,Law on Protection of Personal Data,Türkiye,Developing,Europe & Central Asia,4.200,80.0,15,4.250,4.000,4.400
0915f3501c97,"New York, Electronic Monitoring Bill",United States,High income,North America,4.200,80.0,5,5.000,4.000,4.000
2fb9f29ad423,AI Regulation White Paper,United Kingdom,High income,Europe & Central Asia,4.200,86.7,15,4.600,4.000,4.000
c6791acb5e62,Cloud Strategy: Infrastructures for the Data and AI Economy,France,High income,Europe & Central Asia,4.188,81.2,16,4.000,4.600,4.000
664a0897a051,AI Standards Hub,United Kingdom,High income,Europe & Central Asia,4.182,90.9,11,3.333,4.500,4.500
34437dda19ab,National Strategy for Quantum Technology,Denmark,High income,Europe & Central Asia,4.182,90.9,11,4.500,4.000,4.000
8b93967d7f94,AI Utilisation Guidelines,Japan,High income,East Asia & Pacific,4.182,68.2,22,4.000,4.600,3.333
a501202a0491,Guidance on AI and Data Protection,United Kingdom,High income,Europe & Central Asia,4.176,88.2,17,4.200,4.286,4.000
f7881e48e8ec,Trialling Automated Vehicle Technologies in Public,United Kingdom,High income,Europe & Central Asia,4.167,83.3,18,3.500,4.500,4.500
0f6e6a8e607d,"InoStartas, InoBranda ir InoPazanga",Lithuania,High income,Europe & Central Asia,4.167,100.0,6,4.000,4.000,4.500
726076086924,Digital Forum of Small States,Singapore,High income,East Asia & Pacific,4.143,92.9,14,4.000,4.000,4.500
59bbe734a828,ASEAN Data Management Framework,Association of Southeast Asian Nations,Unknown,Unknown,4.143,78.6,14,3.750,3.600,5.000
4aeda0aa44de,Act on Testing Self-Driving Vehicles,Norway,High income,Europe & Central Asia,4.133,86.7,15,4.200,4.200,4.000
35f15d34fb77,Algorithm Charter for Aotearoa New Zealand,New Zealand,High income,East Asia & Pacific,4.133,80.0,15,3.600,4.800,4.000
ca53713c2905,Government by Algorithm: AI in Federal Administrative Agencies,United States,High income,North America,4.133,86.7,15,4.200,4.200,4.000
8321d9d20da2,Discussion Paper on Generative AI - Implications for Trust and Governance,Singapore,High income,East Asia & Pacific,4.118,88.2,17,4.600,3.857,4.000
df96b98ccf58,Guide to the Saudi Personal Data Protection Law,Saudi Arabia,High income,Middle East & North Africa,4.111,77.8,18,4.200,3.500,4.571
9935f58bc498,Delaware Electronic Monitoring Law,United States,High income,North America,4.111,77.8,9,3.667,4.667,4.000
1a5e0e108d0d,National Framework for Artificial Intelligence in Digital Learning (AIDL),Saudi Arabia,High income,Middle East & North Africa,4.105,84.2,19,3.714,4.143,4.600
0b960cf6f552,CurrentAI,France,High income,Europe & Central Asia,4.105,94.7,19,4.000,4.286,4.000
a5280c9a254e,Norwegian participation in HORIZON Europe,Norway,High income,Europe & Central Asia,4.091,81.8,11,3.667,3.750,4.750
853345c6dfca,EquiFund & EquiFund II,Greece,High income,Europe & Central Asia,4.091,81.8,11,4.333,3.750,4.250
0b823dc129ba,National Ethical Guidelines for Biomedical and Health Research Involving Human Participants,India,Developing,South Asia,4.083,87.5,24,4.000,4.000,4.333
6e943342c521,Freedom of Information Regulations,Saudi Arabia,High income,Middle East & North Africa,4.067,73.3,15,3.600,4.000,4.600
517a3c9ede62,Improving access to data (strategy for digitalisation),Denmark,High income,Europe & Central Asia,4.062,81.2,16,3.800,4.167,4.200
8bfb4dbae05c,Amendments to Personal Data Protection Law,Saudi Arabia,High income,Middle East & North Africa,4.062,81.2,16,4.250,4.333,3.667
b2d18722bc13,Introduction to AI Assurance,United Kingdom,High income,Europe & Central Asia,4.062,81.2,16,4.000,3.667,4.500
a8a0cad1c487,Approach Document for India: Part 1 - Principles for Responsible AI,India,Developing,South Asia,4.056,83.3,18,4.000,4.429,3.333
e67af2e452a7,Compendium of AI Use Cases,Singapore,High income,East Asia & Pacific,4.050,85.0,20,3.833,4.286,4.000
28b65a67e680,Opinion of the Data Ethics Commission,Germany,High income,Europe & Central Asia,4.050,80.0,20,4.000,3.875,4.400
827c7ae83d76,Egyptian Charter for Responsible AI,Egypt,Developing,Middle East & North Africa,4.043,82.6,23,4.125,4.125,3.857
a23e1930dbf0,Generative Artificial Intelligence Guidelines for Government,Saudi Arabia,High income,Middle East & North Africa,4.043,78.3,23,4.250,4.250,3.571
c087d41ae691,Data Classification Regulations,Saudi Arabia,High income,Middle East & North Africa,4.000,71.4,14,4.000,3.600,4.400
b3427e1f8f36,Open Data Regulations,Saudi Arabia,High income,Middle East & North Africa,4.000,73.3,15,3.600,4.000,4.400
e42af153a866,Sandbox Framework for Adoption of Innovative Technologies in the Public Sector,Mauritius,Developing,Sub-Saharan Africa,4.000,85.7,14,3.500,4.200,4.200
9a810fbfcb0c,Secure platform for developing transparent Danish language models,Denmark,High income,Europe & Central Asia,4.000,76.5,17,3.500,4.333,4.200
f8cd7c2710e9,Law On The Protection Of Personal Data,Tunisia,Developing,Middle East & North Africa,4.000,76.9,13,3.800,3.800,4.667
afec5742ca4e,Real-world Test Field for Digital Mobility,Germany,High income,Europe & Central Asia,4.000,85.7,14,3.500,4.000,4.400
77d3fa8554a8,Elaboration and Developing Privacy Policy Guideline,Saudi Arabia,High income,Middle East & North Africa,4.000,76.5,17,4.000,3.857,4.200
fe6c7a1656cf,Open Data Action Plan,Latvia,High income,Europe & Central Asia,4.000,86.7,15,3.800,3.800,4.400
c39c1ef35f13,UK Government's Guidelines for AI Procurement,United Kingdom,High income,Europe & Central Asia,4.000,84.2,19,3.200,4.286,4.286
3b1f5816f1e8,Digitising European industry,European Union,Unknown,Unknown,4.000,80.0,15,3.600,3.600,4.800
4459a0d97780,Automated and Connected Driving,Germany,High income,Europe & Central Asia,4.000,93.3,15,4.000,4.000,4.000
157f97d4a3a7,Personal Data Disclosure Cases Guideline,Saudi Arabia,High income,Middle East & North Africa,4.000,91.7,12,4.250,3.800,4.000
ac097f0a3daf,Central Government Guidelines on Cloud Policies,Finland,High income,Europe & Central Asia,4.000,72.7,11,4.000,4.000,4.000
92f7f41aaf0c,Autonomous Driving in European Transport,European Union,Unknown,Unknown,4.000,95.0,20,4.167,3.857,4.000
01624c3e8c27,Centers of Excellence in Regulatory Science and Innovation,United States,High income,North America,4.000,100.0,2,0.000,0.000,4.000
2ffe0ba8c4b2,Pilots for the Impact Assessment Human Rights and Algorithms,Netherlands,High income,Europe & Central Asia,4.000,100.0,2,4.000,0.000,4.000
1c32c72849e5,Drive Sweden,Sweden,High income,Europe & Central Asia,4.000,84.6,13,4.333,3.600,4.200
fde53bf2e320,Bletchley Park AI Safety Summit,United Kingdom,High income,Europe & Central Asia,4.000,80.0,10,4.000,4.000,4.000
9158721a2adc,Implementation of Accessible Websites in the Costa Rican Public Sector,Costa Rica,Developing,Latin America & Caribbean,4.000,88.9,9,4.000,4.000,4.000
b8e978d2fbdf,R&D projects for ICT and specific economic purposes,Slovenia,High income,Europe & Central Asia,4.000,83.3,6,3.500,4.000,4.500
d5003a6da76e,RNCA Supercomputers and Cloud Access,Portugal,High income,Europe & Central Asia,4.000,100.0,1,0.000,0.000,4.000
3bf658a089a8,"Increasing the number of AI experts from overseas in Israeli industry (returning residents, new immigrants, foreign experts)",Israel,High income,Middle East & North Africa,4.000,100.0,1,0.000,0.000,4.000
55c4cd1df97e,Tax Credit on Higher Educational Qualifications,Malta,High income,Europe & Central Asia,4.000,100.0,1,0.000,0.000,4.000
e3bb3d7418cf,Tremplin IA,Belgium,High income,Europe & Central Asia,4.000,100.0,1,0.000,0.000,4.000
9ffb131580f5,AI-related training for civil servants,France,High income,Europe & Central Asia,4.000,80.0,5,4.000,3.500,4.500
b9d3165c1c44,"State programme for developing, attracting and retaining talent – specific call on AI",Spain,High income,Europe & Central Asia,4.000,100.0,2,0.000,0.000,4.000
e76e4ba94ef6,Application Hub for a Circular Economy for Plastic Packaging through AI Methods,Germany,High income,Europe & Central Asia,4.000,100.0,1,4.000,0.000,0.000
33dab99c02c9,Memorandum with the Artificial Intelligence Center Hamburg (ARIC),Latvia,High income,Europe & Central Asia,4.000,100.0,1,0.000,0.000,4.000
382104697598,"International accelerator of Startup Lithuania, the national startup ecosystem facilitator, under the auspices the Lithuanian Innovation Agency",Lithuania,High income,Europe & Central Asia,4.000,100.0,1,0.000,0.000,4.000
49f0d1260d56,AI4T,Luxembourg,High income,Europe & Central Asia,4.000,80.0,5,3.500,4.000,5.000
a0406ce6a22e,Unified State Web Portal of Digital Education “Diia.Education”,Ukraine,Developing,Europe & Central Asia,4.000,100.0,1,0.000,0.000,4.000
087f39022824,GovCloud,Denmark,High income,Europe & Central Asia,4.000,60.0,5,3.500,4.000,5.000
589568cfb901,OpenThaiGPT,Thailand,Developing,East Asia & Pacific,4.000,100.0,1,0.000,0.000,4.000
ec5c3b23f580,Elements of AI – Luxembourg,Luxembourg,High income,Europe & Central Asia,4.000,71.4,7,3.667,3.500,5.000
e61c2cb96167,Employment Practices: Monitoring at Work Draft Guidance,United Kingdom,High income,Europe & Central Asia,3.952,81.0,21,4.167,4.222,3.333
cb596f8981da,Online Harms White Paper and Bill,United Kingdom,High income,Europe & Central Asia,3.950,85.0,20,4.000,3.857,4.000
bb6825f0ef07,European Group on Ethics in Science and New Technologies (EGE),European Union,Unknown,Unknown,3.947,73.7,19,3.333,4.167,5.000
605d4b95880f,National Programme for Government Schools: Responsible AI for Youth,India,Developing,South Asia,3.947,78.9,19,4.000,4.286,3.250
71a234b1fe88,Estonia's Digital Agenda 2030,Estonia,High income,Europe & Central Asia,3.941,88.2,17,3.875,4.000,4.000
0951e356e664,Approach Document for India: Part 2 - Operationalizing Principles for Responsible AI,India,Developing,South Asia,3.941,94.1,17,3.714,4.200,4.000
a7e02b41bb07,Implementation and Self-Assessment Guide for Organisations,Singapore,High income,East Asia & Pacific,3.941,76.5,17,3.800,4.333,3.667
316a0be138be,Review Into Bias in Algorithmic Decision-making,United Kingdom,High income,Europe & Central Asia,3.941,82.4,17,4.000,4.000,3.833
35c7d8c46323,G7 Hiroshima Process on Generative Artificial Intelligence,OECD/GPAI,Unknown,Unknown,3.941,88.2,17,3.857,4.167,3.750
46854843408d,European Data Governance Act (DGA),European Union,Unknown,Unknown,3.933,93.3,15,4.000,3.800,4.000
406194f89736,Guidelines for Binding Common Rules (BCR) for Personal Data Transfer,Saudi Arabia,High income,Middle East & North Africa,3.933,80.0,15,4.000,3.833,4.000
c03b5157de5e,AI-assisted precision surgery in oncology,Germany,High income,Europe & Central Asia,3.933,80.0,15,3.400,4.400,4.000
f9f46b64afea,Autonomous Vehicles - Code of Practice for Testing in Belgium,Belgium,High income,Europe & Central Asia,3.933,80.0,15,3.500,4.167,4.000
9d766c708ff5,Personal Data Protection Law,Saudi Arabia,High income,Middle East & North Africa,3.929,71.4,14,3.250,4.200,4.200
4ce0d121ec91,Standard Contractual Clauses for Personal Data Transfer,Saudi Arabia,High income,Middle East & North Africa,3.929,78.6,14,4.250,4.200,3.400
a62b902adb3b,"Notice 15/V - 113 (""Notice on the Authorization to Test Automated Driving Systems"")",Spain,High income,Europe & Central Asia,3.923,76.9,13,3.333,4.200,4.000
65bf7540f7e6,AI and Privacy Report,Norway,High income,Europe & Central Asia,3.923,69.2,13,4.200,4.000,3.333
46fa988be5e7,AI Hub for Sustainable Development,G7,Unknown,Unknown,3.917,91.7,12,3.750,4.000,4.000
9a4eba14f16d,AI Guidelines,Germany,High income,Europe & Central Asia,3.917,79.2,24,3.900,4.000,3.800
953250050061,"Personal Data Destruction, Anonymization, and Pseudonymisation Guideline",Saudi Arabia,High income,Middle East & North Africa,3.917,75.0,12,4.333,4.000,3.500
