entry_id,title,jurisdiction,year,income,coverage_pct,avg_depth,alignment_score,Human rights & human dignity,"Peaceful, just & interconnected societies",Diversity & inclusiveness,Environment & ecosystem flourishing,Proportionality & do no harm,Safety & security,Fairness & non-discrimination,Sustainability,Right to privacy & data protection,Human oversight & determination,Transparency & explainability,Responsibility & accountability,Awareness & literacy,Multi-stakeholder & adaptive governance,Ethical impact assessment,Ethical governance & stewardship,Data policy,Development & international cooperation,Environment & ecosystem,Gender,Culture,Education & research,Communication & information,Economy & labour,Health & social well-being
9a4eba14f16d,AI Guidelines,Germany,2025,High income,88.0,4.03,85.0,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.50,3.50,5.00,4.00,4.00,3.50,4.67,0.00,4.00,4.00,0.00,5.00,0.00,4.00,3.00
be06b6bdfb97,Beijing Consensus on AI and Education,China (People’s Republic of),2019,Unknown,96.0,3.34,84.3,3.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,3.33,3.00,5.00,2.75,4.50,4.33,2.67,3.67,3.50,4.00,3.00,4.00,2.00,4.50,0.00,2.00,3.00
97ace3320338,AI Professorships,Germany,2020,High income,96.0,3.27,83.7,2.67,2.75,3.50,4.00,2.00,4.00,2.67,4.00,3.00,3.00,3.00,2.33,5.00,4.50,2.00,2.00,3.50,3.50,4.00,2.00,3.00,5.00,0.00,4.00,3.00
84b8107d7949,AI Fund,Belgium,2022,High income,88.0,3.73,82.6,4.00,3.50,4.00,5.00,0.00,3.50,4.00,5.00,3.50,3.00,3.33,3.00,5.00,2.50,3.50,3.25,4.00,2.00,5.00,4.00,0.00,5.00,0.00,3.00,3.00
71a234b1fe88,Estonia's Digital Agenda 2030,Estonia,2021,High income,84.0,4.00,82.4,4.00,2.50,4.00,5.00,4.00,5.00,3.50,5.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,0.00,4.00,4.00,0.00,2.00,0.00
415612978265,Hiroshima Artificial Intelligence Process Code of Conduct Reporting Framework,OECD/GPAI,2025,Unknown,88.0,3.69,82.3,3.50,3.67,3.00,0.00,4.00,5.00,4.00,0.00,4.00,2.00,4.33,3.33,4.00,4.00,3.50,3.80,4.00,4.00,0.00,4.00,2.00,4.00,4.00,3.00,4.00
5df5a1dfa6fd,Funding Initiative in the Field of AI,Germany,2019,High income,92.0,3.33,81.9,2.67,3.00,3.50,4.00,0.00,3.00,2.67,4.00,3.25,3.00,2.67,2.00,5.00,4.50,2.00,2.25,3.67,5.00,4.00,2.00,3.00,5.00,0.00,3.50,3.00
63368a186351,National Policy on Artificial Intelligence (CONPES 4144),Colombia,2025,Developing,88.0,3.60,81.6,2.00,4.00,3.00,4.00,5.00,0.00,4.00,4.00,5.00,2.00,2.00,2.50,4.50,3.00,4.00,2.67,5.00,4.00,4.00,0.00,2.00,4.50,0.00,4.00,4.00
da59c5325ab2,European Strategy for Data,European Union,2020,Unknown,88.0,3.58,81.4,3.67,3.00,4.00,4.00,0.00,4.00,3.00,4.00,3.25,4.00,3.00,2.50,4.00,4.00,3.00,3.75,3.50,4.00,4.00,3.00,0.00,4.00,0.00,4.00,3.00
69b0f06eba30,OUR AI: Our Ambition for France,France,2024,High income,92.0,3.25,81.2,2.67,3.00,4.00,3.00,3.00,2.00,3.00,3.00,4.00,3.50,3.50,4.00,3.67,4.00,3.50,3.00,3.67,3.50,3.00,2.00,0.00,3.67,0.00,3.00,3.00
dcad935896bc,U.S.-EU Trade and Technology Council,United States,2021,High income,88.0,3.52,81.0,4.00,3.50,3.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,3.50,3.50,3.50,4.00,4.00,4.00,2.00,5.00,4.00,0.00,2.00,3.50,0.00,3.00,0.00
2864e66d39b7,Regional/local AI networks,France,2022,High income,92.0,3.15,80.4,2.33,3.00,4.00,3.00,2.00,2.00,3.00,3.00,4.00,3.00,3.33,3.33,4.00,3.50,3.00,3.50,4.00,3.50,3.00,2.00,0.00,4.00,0.00,3.00,3.00
d08017413cdd,Declaration of Montevideo,"The United Nations Educational, Scientific and Cultural Organization",2024,Unknown,84.0,3.74,80.3,4.00,3.00,4.00,5.00,4.00,2.00,3.67,5.00,3.50,2.00,0.00,3.50,5.00,3.67,3.50,3.25,3.50,4.00,5.00,3.00,0.00,5.00,0.00,3.00,0.00
