Variable,Model 1 β,Model 1 SE,Model 1 p,Model 3 β,Model 3 SE,Model 3 p
const,-102.444,153.687,0.5050,-99.871,153.382,0.5150
is_developing,0.490,1.668,0.7687,1.187,1.889,0.5299
post_unesco,-1.885,0.791,0.0171,-1.599,0.818,0.0507
log_gdp,0.423,0.924,0.6473,0.379,0.925,0.6817
is_hard_law,0.321,1.418,0.8208,0.291,1.414,0.8369
is_soft_law,2.651,1.084,0.0144,2.582,1.091,0.0180
year,0.075,0.076,0.3210,0.074,0.076,0.3273
dev_x_post,,,,-1.773,2.074,0.3926

N,1253,,,1253,,
R²,0.008,,,0.009,,
Adj R²,0.003,,,0.003,,
