entry_id,title,jurisdiction,year,text_quality,n_models,policy_type,binding_nature,c1_clarity,c2_resources,c3_authority,c4_accountability,c5_coherence,e1_framework,e2_rights,e3_governance,e4_operationalisation,e5_inclusion,capacity_score,ethics_score,overall_score,mean_spread,income_group,income_binary,region,region_code,gdp_pc,is_international,log_gdp_pc
143dd63b64a0,General Data Protection Regulation (GDPR),European Union,2018.0,good,3,Regulation,Hard law,3,2,4,3,3,3,4,3,4,2,3.0,3.2,3.1,1.3,Unknown,,Unknown,,,True,
dfb5156126ae,Artificial Intelligence Act (AI ACT),European Union,2024.0,good,3,Legislation,Hard law,3,2,3,3,4,3,4,3,3,2,3.0,3.0,3.0,1.0,Unknown,,Unknown,,,True,
e71130df149c,Digital Services Act Package,European Union,2022.0,good,3,Regulation,Hard law,3,2,3,2,4,2,3,3,3,2,2.8,2.6,2.7,0.6,Unknown,,Unknown,,,True,
fbdfcfa7f995,National AI Initiative Office,United States,2021.0,good,3,Action Plan,Non-binding,3,3,3,2,3,2,3,3,2,3,2.8,2.6,2.7,0.5,High income,High income,North America,NAM,85300.0,False,11.35392973347977
bbeaa84362f0,National AI Research Resource Task Force,United States,2021.0,good,3,Action Plan,Non-binding,3,3,3,3,3,2,2,3,2,3,3.0,2.4,2.7,0.7,High income,High income,North America,NAM,85300.0,False,11.35392973347977
28a6aad3a6cb,Canada's Directive on Automated Decision-making,Canada,2016.0,good,3,Directive,Binding regulation,3,1,3,3,3,2,3,3,3,2,2.6,2.6,2.6,0.4,High income,High income,North America,NAM,60200.0,False,11.005427631296913
63368a186351,National Policy on Artificial Intelligence (CONPES 4144),Colombia,2025.0,good,3,Strategy,Soft law,3,3,3,2,3,2,2,2,2,3,2.8,2.2,2.5,0.7,Upper middle income,Developing,Latin America & Caribbean,LAC,19700.0,False,9.88837391472608
1b154d1b481d,"Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence",United States,2023.0,good,3,Executive Order,Non-binding,2,1,3,2,3,3,3,3,2,2,2.2,2.6,2.4,0.7,High income,High income,North America,NAM,85300.0,False,11.35392973347977
9e11c5d8ff98,AI-based assistance systems for in-process healthcare applications,Germany,2021.0,good,2,Program,Soft law,3,2,3,2,3,2,2,2,2,3,2.6,2.2,2.4,0.6,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
47555d3ea4a2,Digital Europe Programme,European Union,2019.0,good,3,Regulation,Hard law,3,3,3,2,3,2,2,2,2,2,2.8,2.0,2.4,1.0,Unknown,,Unknown,,,True,
c0e62516b7c7,Law on Protection of Personal Data,Türkiye,2016.0,good,3,Legislation,Hard law,3,2,3,2,2,2,3,3,3,1,2.4,2.4,2.4,0.6,Upper middle income,Developing,Europe & Central Asia,ECA,41900.0,False,10.643041105910228
2108918e58cd,Italian Strategy on Data,Italy,2024.0,good,3,Strategy,Soft law,3,2,3,2,3,1,2,3,3,1,2.6,2.0,2.3,0.6,High income,High income,Europe & Central Asia,ECA,57200.0,False,10.95430917736789
005775d5a30e,The National AI Policy,Rwanda,2023.0,good,3,Strategy,Non-binding,3,2,3,2,3,2,1,2,2,3,2.6,2.0,2.3,0.4,Low income,Developing,Sub-Saharan Africa,SSA,2900.0,False,7.9724660159745655
f564c30c4b0a,Automated Employment Decision Tool Law,United States,2022.0,good,3,Legislation,Hard law,3,1,3,2,2,2,3,3,3,1,2.2,2.4,2.3,0.6,High income,High income,North America,NAM,85300.0,False,11.35392973347977
6e943342c521,Freedom of Information Regulations,Saudi Arabia,2021.0,good,3,Standards,Binding regulation,3,2,3,3,2,2,2,2,3,1,2.6,2.0,2.3,0.6,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
c087d41ae691,Data Classification Regulations,Saudi Arabia,2021.0,good,3,Regulation,Binding regulation,3,2,3,3,2,2,2,2,3,1,2.6,2.0,2.3,0.5,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
98467735e3a7,HORIZON Europe,European Union,2020.0,good,3,Regulation,Hard law,2,3,3,2,3,2,2,2,2,2,2.6,2.0,2.3,1.0,Unknown,,Unknown,,,True,
e818631ce003,Regulatory Framework for Automated Vehicles,United Kingdom,2020.0,good,3,Framework,Soft law,3,1,3,2,3,2,2,2,3,2,2.4,2.2,2.3,0.7,High income,High income,Europe & Central Asia,ECA,62400.0,False,11.041320554357519
5df5a1dfa6fd,Funding Initiative in the Field of AI,Germany,2019.0,good,2,Action Plan,Non-binding,2,3,3,2,3,2,2,2,2,2,2.6,2.0,2.3,0.8,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
5a1df4d2a7cb,Algorithmic Impact Assessment,Canada,2019.0,good,3,Guideline,Soft law,3,1,2,2,3,2,2,3,3,2,2.2,2.4,2.3,0.5,High income,High income,North America,NAM,60200.0,False,11.005427631296913
69b0f06eba30,OUR AI: Our Ambition for France,France,2024.0,good,3,Strategy,Non-binding,2,3,2,1,3,2,2,3,2,2,2.2,2.2,2.2,0.7,High income,High income,Europe & Central Asia,ECA,63000.0,False,11.05089000537367
c03b5157de5e,AI-assisted precision surgery in oncology,Germany,2024.0,good,3,Guideline,Soft law,2,2,2,2,3,2,2,2,2,3,2.2,2.2,2.2,0.6,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
560b397ad7c2,Second Joint Action Towards the European Health Data Space,Finland,2024.0,good,3,Regulation,Binding regulation,3,1,2,1,3,2,3,3,3,1,2.0,2.4,2.2,1.0,High income,High income,Europe & Central Asia,ECA,62200.0,False,11.03811027872727
29446f0b91a2,Court Ruling on the Use of AI Software in Hesse and Hamburg,Germany,2023.0,good,3,Legislation,Hard law,2,1,3,2,2,3,3,2,3,1,2.0,2.4,2.2,1.3,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
89bf966f23c8,NSW AI Assurance Framework,Australia,2022.0,good,3,Framework,Soft law,2,1,3,2,3,2,2,3,3,1,2.2,2.2,2.2,0.4,High income,High income,East Asia & Pacific,EAP,65400.0,False,11.08827753744529
b814c2711a97,Civic Coding - Innovation Network AI for the Common Good,Germany,2021.0,good,3,Framework,Non-binding,2,2,3,2,3,2,1,2,2,3,2.4,2.0,2.2,0.7,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
b3427e1f8f36,Open Data Regulations,Saudi Arabia,2021.0,good,3,Regulation,Binding regulation,3,1,3,3,2,2,2,2,3,1,2.4,2.0,2.2,0.4,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
9d766c708ff5,Personal Data Protection Law,Saudi Arabia,2021.0,good,3,Legislation,Hard law,2,1,3,2,2,2,3,3,3,1,2.0,2.4,2.2,0.5,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
4b1f548a0821,Making repositories and AI systems usable in everyday nursing care,Germany,2021.0,good,2,Program,Non-binding,2,2,2,2,3,2,2,2,2,3,2.2,2.2,2.2,0.5,High income,High income,Europe & Central Asia,ECA,68200.0,False,11.130199843831553
cb596f8981da,Online Harms White Paper and Bill,United Kingdom,2019.0,good,3,White Paper,Soft law,2,2,3,2,2,2,2,3,2,2,2.2,2.2,2.2,0.9,High income,High income,Europe & Central Asia,ECA,62400.0,False,11.041320554357519
a5e71f3e19d2,Big Data Policy (Data Governance Framework),Colombia,2018.0,good,3,Action Plan,Soft law,2,3,3,2,3,2,2,2,2,1,2.6,1.8,2.2,0.8,Upper middle income,Developing,Latin America & Caribbean,LAC,19700.0,False,9.88837391472608
78d88513a6fe,Prospective Research Programme,Belgium,2017.0,good,3,Program,Soft law,2,2,3,3,2,2,2,2,2,2,2.4,2.0,2.2,0.5,High income,High income,Europe & Central Asia,ECA,68500.0,False,11.134589024250317
8c3cbe49f3e7,HORIZON 2020,European Union,2014.0,good,3,Regulation,Hard law,3,3,3,2,3,2,2,1,1,2,2.8,1.6,2.2,1.2,Unknown,,Unknown,,,True,
3f76208b98d5,Federal Act Concerning the Protection of Personal Data,Austria,1999.0,good,3,Legislation,Hard law,2,1,3,2,2,2,3,3,3,1,2.0,2.4,2.2,1.2,High income,High income,Europe & Central Asia,ECA,72000.0,False,11.184421397998193
e34f4824bad8,Smart Education @ Schools,Belgium,2025.0,good,3,Program,Non-binding,2,3,3,2,3,1,1,2,2,2,2.6,1.6,2.1,0.7,High income,High income,Europe & Central Asia,ECA,68500.0,False,11.134589024250317
517a3c9ede62,Improving access to data (strategy for digitalisation),Denmark,2024.0,good,3,Strategy,Non-binding,2,3,2,2,3,2,2,2,2,1,2.4,1.8,2.1,0.8,High income,High income,Europe & Central Asia,ECA,77600.0,False,11.25932270617131
62517ffbaac1,Algorithm & AI Register,Netherlands,2024.0,good,3,Framework,Soft law,2,1,3,3,2,2,2,3,2,1,2.2,2.0,2.1,0.4,High income,High income,Europe & Central Asia,ECA,74000.0,False,11.211820372186306
46854843408d,European Data Governance Act (DGA),European Union,2023.0,good,3,Regulation,Hard law,2,1,3,2,3,2,2,2,3,1,2.2,2.0,2.1,0.7,Unknown,,Unknown,,,True,
76780565f49c,Algorithm Supervision Body,Netherlands,2023.0,good,3,Action Plan,Soft law,2,3,2,1,3,2,2,2,2,2,2.2,2.0,2.1,0.5,High income,High income,Europe & Central Asia,ECA,74000.0,False,11.211820372186306
d6b5cfe2d45e,The implementing regulation of the Personal Data Protection Law,Saudi Arabia,2023.0,good,3,Regulation,Binding regulation,3,1,2,2,2,2,3,2,3,1,2.0,2.2,2.1,0.4,High income,High income,Middle East & North Africa,MENA,65600.0,False,11.09133097493218
